src,dst,relation
14042940,Logan Square,Has Property
4653380,Roslindale,Has Property
71783,Dorchester,Has Property
845174,NULL,Has Property
56415751,Allston-Brighton,Has Property
16881770,Dorchester,Has Property
16247061,NULL,Has Property
45803947,Dansaert,Has Property
35401368,Berchem-Sainte-Agathe,Has Property
37211819,Clapham,Has Property
67890422,Clapham,Has Property
26531419,NULL,Has Property
86134089,NULL,Has Property
62510358,North City Central/O'Connell Street,Has Property
55957261,NULL,Has Property
4370528,NULL,Has Property
24373009,NULL,Has Property
1814506,LB of Brent,Has Property
21960212,NULL,Has Property
12206279,NULL,Has Property
3557181,NULL,Has Property
29852577,North End,Has Property
11071285,South End,Has Property
5915565,Frederiksberg,Has Property
12986607,Frederiksberg,Has Property
118486219,Lakeview,Has Property
119773246,Nørrebro,Has Property
6708889,Stanley,Has Property
51033251,NULL,Has Property
23362975,Wong Tai Sin,Has Property
55871375,NULL,Has Property
55870825,NULL,Has Property
66131192,NULL,Has Property
18160595,Wan Chai,Has Property
45496468,Halensee,Has Property
2707104,NULL,Has Property
23290295,NULL,Has Property
39506137,Sant Gervasi - Galvany,Has Property
2023221,NULL,Has Property
4472095,NULL,Has Property
34006291,Friedrichshain,Has Property
26670019,Wilmersdorf,Has Property
58186785,Bouldin Creek,Has Property
11440823,NULL,Has Property
4712774,Old West Austin,Has Property
12604026,East Riverside,Has Property
1156357,Brentwood,Has Property
1148288,East Riverside,Has Property
1614097,Long Canyon,Has Property
36390549,Downtown,Has Property
28419951,NULL,Has Property
299462,Dreta de l'Eixample,Has Property
9323748,NULL,Has Property
2320210,Camp d'en Grassot i Gràcia Nova,Has Property
92392823,NULL,Has Property
31642240,NULL,Has Property
14262229,El Poblenou,Has Property
27789579,El Poblenou,Has Property
49577798,NULL,Has Property
2406372,Mitte,Has Property
21931808,Mitte,Has Property
35998272,NULL,Has Property
15494878,NULL,Has Property
53194865,NULL,Has Property
86038453,El Raval,Has Property
78690204,NULL,Has Property
3885436,L'Antiga Esquerra de l'Eixample,Has Property
28730534,Weißensee,Has Property
92338312,Kreuzberg,Has Property
91619821,NULL,Has Property
24789763,NULL,Has Property
64231844,NULL,Has Property
101229164,Sant Antoni,Has Property
13721975,Neukölln,Has Property
5032326,NULL,Has Property
83289931,Neukölln,Has Property
4116607,Neukölln,Has Property
36749791,NULL,Has Property
87779301,NULL,Has Property
33025844,Frederiksberg,Has Property
29373710,Brønshøj,Has Property
36527244,NULL,Has Property
32919393,NULL,Has Property
1500938,NULL,Has Property
18976273,NULL,Has Property
79432144,Clontarf,Has Property
59049373,NULL,Has Property
46405696,Bethnal Green,Has Property
39953674,Bethnal Green,Has Property
2338892,Shoreditch,Has Property
3278023,NULL,Has Property
4821653,NULL,Has Property
3146952,LB of Hackney,Has Property
4855233,Dalston,Has Property
1262822,LB of Hackney,Has Property
97206133,Chelsea,Has Property
8356922,Earls Court,Has Property
93982419,Kensington,Has Property
24787488,Kensington,Has Property
26632774,NULL,Has Property
